-1.5	0.548334109436505	0.608626855794304	0.606800869781216	0.616839262865176	0.613303643844714
-1.4	0.335221485101157	0.405377730709983	0.398595403717440	0.410166026567805	0.413246092712271
-1.3	0.144240754661299	0.221775452099463	0.210573579251631	0.229815914207095	0.229178164299224
-1.2	-2.158026484716042E-003	9.290580575239975E-002	8.037892880556437E-002	0.102527738106572	9.720603856420106E-002
-1.1	-3.815475879169175E-002	1.911456566364601E-002	1.032271406527172E-002	2.674580293044755E-002	2.965121979621517E-002
-1.0	-5.716066424111186E-002	-1.053775448791352E-002	-2.209647263438537E-002	-3.721167855052707E-003	-6.502298391858913E-003
-0.9	-6.652344368161595E-002	-2.639908179167522E-002	-3.811792123882310E-002	-1.833827135033888E-002	-2.588418807966908E-002
-0.8	-7.091909141373090E-002	-3.104576294957876E-002	-4.986412566165920E-002	-2.209253153545244E-002	-4.520983209366682E-002
-0.7	-6.197367610830873E-002	-1.240877251697411E-002	-5.573995046991768E-002	-1.209707921772566E-002	-4.273810871320477E-002
-0.6	-5.961661206125456E-002	-1.758773337981666E-002	-4.829978337854642E-002	-2.544745573056006E-002	-3.126379594488552E-002
-0.5	-5.606994000148051E-002	-2.206916264300640E-002	-4.277319674875481E-002	-2.972016325226555E-002	-3.229428673812583E-002
-0.4	-5.119942051884532E-002	-2.543790429794339E-002	-3.865604173392755E-002	-3.007079020509916E-002	-3.677564553669117E-002
-0.3	-4.453970762172628E-002	-2.708127710347765E-002	-3.353341346363618E-002	-3.056121548609134E-002	-3.178979063720913E-002
-0.2	-3.517820249526180E-002	-2.524094747220805E-002	-2.765908665350901E-002	-2.679411618913281E-002	-2.721700853611949E-002
-0.1	-2.119034076918767E-002	-1.787879514829950E-002	-1.821610727168002E-002	-1.816989354409915E-002	-1.817185395498721E-002
0.0	5.285504666069868E-020	5.285504666070878E-020	5.285504666070878E-020	5.285504666070878E-020	5.285504666070878E-020
0.1	3.201622428625026E-002	3.690818123972885E-002	3.719096209127316E-002	3.720772686533919E-002	3.720939961413938E-002
0.2	8.893916069645394E-002	0.110308023397998	0.111200288722795	0.111050524035514	0.111235672045312
0.3	0.196681674151456	0.238785606411657	0.236118066717069	0.236788444177068	0.235351175462337
0.4	0.365364176050183	0.410928649205572	0.403304842894453	0.406920190598885	0.411188194837490
0.5	0.567261518312076	0.614599106300876	0.601399785531628	0.608352359980602	0.608769184162477










