lambda	cosx	cos2x	cos3x	cos4x	cos5x	sinx	sin2x	sin3x	sin4x	sin5x	1	vcosx	vcos2x	vcos3x	vcos4x	vcos5x	vsinx	vsin2x	vsin3x	vsin4x	vsin5x	v
-5.000000000000000000e-01	-1.524366444603900028e+00	8.023826637812999651e-01	1.737347832460139907e-01	-5.338952565845750398e-01	-3.720225674369011248e-02	2.412262430293070081e-01	-8.200196998313910024e-01	6.661127424716629664e-01	-1.798798581646121955e-02	-3.136546622785030269e-01	-5.429848669340879841e-01	-6.121402403929919744e-01	-2.462781475757319927e-01	1.854749118216177800e-02	-6.611324865777748472e-02	-1.271462586040658371e-01	-1.722642538025434544e-02	9.738733858598079551e-02	1.036868722294663064e-01	1.526062656018444541e-01	-4.107826170767354262e-02	-3.817460450142999839e-01
-4.000000000000000222e-01	-1.510141016450730067e+00	7.769624039264280135e-01	1.982397288848730121e-01	-5.377064646571300122e-01	-4.881448748689678346e-02	3.138196478112509902e-01	-8.169992010356430523e-01	6.533870821698910536e-01	1.496470914995255003e-02	-3.170982981685550040e-01	-4.849173503353180203e-01	-6.079036995025199897e-01	-2.653487460836559952e-01	-3.669875451263385907e-02	-5.461846246040547720e-02	-1.060659765267293747e-01	-4.079420469986384107e-02	1.487282762732644037e-01	8.970794725269151670e-02	1.743740933109053648e-01	7.094186716117924230e-03	-3.900432150124489850e-01
-2.999999999999999889e-01	-1.497136938685690088e+00	7.483398024249829916e-01	2.203512011841990137e-01	-5.420782139370570185e-01	-6.350766799316889810e-02	3.920747688631550099e-01	-8.142925166034640228e-01	6.405279937603830520e-01	4.708352098534585722e-02	-3.171779525465159844e-01	-4.341416155269769428e-01	-6.128273571472320214e-01	-2.648857436494559958e-01	-7.265528048150375617e-02	-5.318889127230613800e-02	-9.303615130999061400e-02	-6.645585811579175772e-02	2.029751610781860005e-01	7.139217288612784151e-02	1.754802503473933406e-01	3.998129243423045875e-02	-4.080156126161330055e-01
-2.000000000000000111e-01	-1.482987144124030099e+00	7.146589038777789726e-01	2.457586734087809921e-01	-5.423362021507780462e-01	-8.352460632759040049e-02	4.727602331907390099e-01	-8.120741398421960078e-01	6.339502663462489584e-01	6.938832967954040865e-02	-3.065954438955730277e-01	-3.924197784887170082e-01	-6.124887500035780530e-01	-2.736401895781859772e-01	-1.045369268156635945e-01	-3.223123380415127831e-02	-8.932509702792432171e-02	-9.319938623388533683e-02	2.443005725059320121e-01	8.895200135115848006e-02	1.556746044059527101e-01	4.877657869944414248e-02	-4.226150476423540248e-01
-1.000000000000000056e-01	-1.467444248028350051e+00	6.792306061583419652e-01	2.673644177453060045e-01	-5.409192422168319636e-01	-1.003514360020229951e-01	5.480742910268909807e-01	-8.100541652623209909e-01	6.253738195401510325e-01	9.947736356090298993e-02	-3.017064220084260118e-01	-3.466683162000299134e-01	-6.181563078428840008e-01	-2.660039853145679811e-01	-1.323028062454277842e-01	-1.718312838297657297e-02	-8.440780134738859464e-02	-1.153235367260898869e-01	2.870386508946999871e-01	9.673903301572979452e-02	1.255826245621122217e-01	5.300299360638249802e-02	-4.300573064275969859e-01
0.000000000000000000e+00	-1.438572273781699939e+00	6.453685657132369746e-01	2.773928887176220215e-01	-5.402833840219960493e-01	-1.132539920225780067e-01	6.176318397285319728e-01	-8.131753595253079503e-01	6.273176186369060492e-01	1.244232607906470001e-01	-3.008784847175570154e-01	-2.879165535824299571e-01	-6.208107731679299857e-01	-2.568711188391180067e-01	-1.589922268194360055e-01	-1.556382857158661662e-02	-7.107004713169126631e-02	-1.050000370775202863e-01	3.059445570995220076e-01	1.060680592696967572e-01	1.018970419655358811e-01	5.320255347786297800e-02	-4.406878498947630063e-01
1.000000000000000056e-01	-1.413327541654300079e+00	5.994158615500470022e-01	2.971712819327629873e-01	-5.457108742496290521e-01	-1.306184796266580128e-01	6.967234190946920425e-01	-8.015720852893070125e-01	6.172251087664399893e-01	1.575256088038010094e-01	-2.965921976351900136e-01	-2.551393182537300408e-01	-6.350494625038139995e-01	-2.525642683415619816e-01	-1.908719403827181527e-01	-1.214959733732983750e-02	-4.173493124749790006e-02	-9.888853197248816118e-02	3.485358067331280063e-01	1.266545294708219804e-01	8.123467908470113907e-02	4.774246370883036134e-02	-4.465396839969639764e-01
2.000000000000000111e-01	-1.410756073090319918e+00	5.362933485355689811e-01	3.185196637144250276e-01	-5.468911842938739554e-01	-1.645716443245320015e-01	7.802044236275660349e-01	-7.752086036956740145e-01	5.888974163078499746e-01	2.091807134166769888e-01	-2.867752426333090021e-01	-2.371383468752801260e-01	-6.293943215152459913e-01	-2.572393615557019841e-01	-2.104065997293800006e-01	-1.751994504243584855e-02	-2.219467528281231922e-02	-9.242540468549345634e-02	4.272401138689500000e-01	1.558557557540065919e-01	5.958814694203905943e-02	3.929958615234774300e-02	-4.563838428490830101e-01
2.999999999999999889e-01	-6.241088612545580006e-01	4.507993697932830002e-01	-1.430135182091190060e-01	3.390619872853795763e-02	-1.234600754728422921e-02	7.434202008477670542e-01	-2.072823905224920049e-01	1.021116283262580027e-01	-6.714254677164666063e-02	3.393004085247530027e-02	6.383299478917890957e-01	2.057816552434879875e-01	-3.076027891096960176e-01	4.942035183442236232e-03	-2.587570363780225882e-02	-9.102822941453807271e-03	4.411949183604900182e-01	1.945350700034230162e-01	-1.850691037613025336e-02	4.525899458270581793e-02	-2.830764614745506086e-02	2.057374245144500124e-01
4.000000000000000222e-01	-6.000139114463719503e-01	4.564363416489339853e-01	-1.427946561276360049e-01	3.369626312826565218e-02	-1.087637160447240021e-02	7.379308188268479674e-01	-2.178254570427080039e-01	1.033476885376539978e-01	-7.027251346594813597e-02	3.633372811599037966e-02	8.786389367126680172e-01	1.880781508189774132e-01	-2.540694397754280076e-01	-1.658392782189907488e-02	-1.662802891420547824e-02	-7.684322125959489741e-03	3.685062699882660220e-01	1.665107629529395949e-01	-1.228787347269940169e-02	3.297895552183967988e-02	-3.511512531864058057e-03	2.295415683272160057e-01
5.000000000000000000e-01	-5.925413917284430010e-01	4.565427456416960017e-01	-1.439684886515180118e-01	3.331206541201788690e-02	-1.049173625381433043e-02	7.338306845194120243e-01	-2.206128285525330024e-01	1.042522843768400043e-01	-7.122891098546310640e-02	3.641086039443201805e-02	1.089857770812359128e+00	1.904081090448829228e-01	-2.342117644277399990e-01	-2.773681696507494104e-02	-2.315394723357312029e-02	-4.925987242339214395e-03	3.491244897322379748e-01	1.668708739021892984e-01	-6.425392425307379848e-03	2.704698845186103914e-02	-5.362425234831581788e-03	2.176549245084959949e-01
